framework,url,threads,connections,req_count,total_time,rps,framework_run_threads
aiohttp,/test,1,100,135226,5.02,26949.87,4
aiohttp,/test,1,1000,124443,5.05,24665.85,4
aiohttp,/test,1,10000,114430,5.09,22485.17,4
aiohttp,/test,1,100,243270,15.02,16199.43,4
aiohttp,/test,1,1000,346084,15.06,22985.59,4
aiohttp,/test,1,10000,347343,15.10,22998.80,4
aiohttp,/test_basic_html,1,100,21819,5.02,4348.60,4
aiohttp,/test_basic_html,1,1000,54285,5.06,10736.83,4
aiohttp,/test_basic_html,1,10000,51946,5.10,10187.29,4
aiohttp,/test_basic_html,1,100,61898,15.03,4118.74,4
aiohttp,/test_basic_html,1,1000,164128,15.04,10912.11,4
aiohttp,/test_basic_html,1,10000,158149,15.09,10480.63,4
aiohttp,/test_large_html,1,100,2375,5.04,471.17,4
aiohttp,/test_large_html,1,1000,3504,5.07,690.71,4
aiohttp,/test_large_html,1,10000,3468,5.01,692.65,4
aiohttp,/test_large_html,1,100,7154,15.04,475.72,4
aiohttp,/test_large_html,1,1000,11187,15.05,743.53,4
aiohttp,/test_large_html,1,10000,11074,15.02,737.37,4
aiohttp,/test_wait_db,1,100,60,5.06,11.86,4
aiohttp,/test_wait_db,1,1000,120,5.09,23.56,4
aiohttp,/test_wait_db,1,10000,120,5.02,23.91,4
aiohttp,/test_wait_db,1,100,210,15.08,13.92,4
aiohttp,/test_wait_db,1,1000,420,15.02,27.97,4
aiohttp,/test_wait_db,1,10000,420,15.05,27.90,4
aiohttp,/test_medium_db,1,100,7,5.03,1.39,4
aiohttp,/test_medium_db,1,1000,3,5.02,0.60,4
aiohttp,/test_medium_db,1,10000,3,5.09,0.59,4
aiohttp,/test_medium_db,1,100,70,15.05,4.65,4
aiohttp,/test_medium_db,1,1000,67,15.01,4.46,4
aiohttp,/test_medium_db,1,10000,54,15.02,3.60,4
aiohttp,/test_basic_db,1,100,5032,5.04,997.45,4
aiohttp,/test_basic_db,1,1000,7694,5.09,1511.57,4
aiohttp,/test_basic_db,1,10000,7438,5.01,1485.40,4
aiohttp,/test_basic_db,1,100,10391,15.04,690.97,4
aiohttp,/test_basic_db,1,1000,24788,15.08,1643.73,4
aiohttp,/test_basic_db,1,10000,23845,15.02,1587.45,4
aiohttp,/test_calc,1,100,10,5.04,1.98,4
aiohttp,/test_calc,1,1000,3,5.06,0.59,4
aiohttp,/test_calc,1,10000,0,5.09,0.00,4
aiohttp,/test_calc,1,100,9,15.06,0.60,4
aiohttp,/test_calc,1,1000,14,15.07,0.93,4
aiohttp,/test_calc,1,10000,9,15.02,0.60,4
aiohttp,/test,1,100,30647,5.03,6091.49,6
aiohttp,/test,1,1000,31673,5.05,6270.12,6
aiohttp,/test,1,10000,86197,5.04,17094.61,6
aiohttp,/test,1,100,119739,15.03,7964.40,6
aiohttp,/test,1,1000,343571,15.09,22761.63,6
aiohttp,/test,1,10000,337255,15.10,22329.12,6
aiohttp,/test_basic_html,1,100,42918,5.04,8518.89,6
aiohttp,/test_basic_html,1,1000,49459,5.06,9778.54,6
aiohttp,/test_basic_html,1,10000,48440,5.05,9600.19,6
aiohttp,/test_basic_html,1,100,61562,15.04,4094.44,6
aiohttp,/test_basic_html,1,1000,155714,15.08,10322.65,6
aiohttp,/test_basic_html,1,10000,144558,15.09,9579.70,6
aiohttp,/test_large_html,1,100,1472,5.03,292.60,6
aiohttp,/test_large_html,1,1000,3394,5.08,668.40,6
aiohttp,/test_large_html,1,10000,3251,5.03,646.30,6
aiohttp,/test_large_html,1,100,4595,15.03,305.65,6
aiohttp,/test_large_html,1,1000,10726,15.05,712.65,6
aiohttp,/test_large_html,1,10000,10434,15.04,693.75,6
aiohttp,/test_wait_db,1,100,28,5.05,5.54,6
aiohttp,/test_wait_db,1,1000,120,5.08,23.61,6
